Sector,Symbol,date,avg(open),min(low),avg(close),avg(volume),max(high)
LIFE SCIENCES,A,2022-03-15,129.22,128.865,130.28,1649205.0,131.15
LIFE SCIENCES,A,2022-03-14,131.0,126.9,127.58,1737149.0,132.26
LIFE SCIENCES,A,2022-03-11,135.43,130.16,130.31,1815769.0,136.44
LIFE SCIENCES,A,2022-03-10,131.4,131.29,134.33,1933127.0,134.52
LIFE SCIENCES,A,2022-03-09,132.85,131.19,133.26,1805585.0,133.94
LIFE SCIENCES,A,2022-03-08,128.64,127.54,129.32,2375483.0,132.5
LIFE SCIENCES,A,2022-03-07,133.55,128.43,130.34,2376504.0,133.55
LIFE SCIENCES,A,2022-03-04,135.85,132.14,133.89,3848511.0,137.12
LIFE SCIENCES,A,2022-03-03,133.73,133.44,137.17,3592139.0,138.0
LIFE SCIENCES,A,2022-03-02,132.68,131.8,133.16,1863110.0,133.96
LIFE SCIENCES,A,2022-03-01,130.83,130.085,131.93,2634071.0,132.915
LIFE SCIENCES,A,2022-02-28,132.03,129.155,130.36,3096424.0,132.875
LIFE SCIENCES,A,2022-02-25,128.84,127.92,133.73,3144478.0,133.75
LIFE SCIENCES,A,2022-02-24,123.7,123.06,128.15,3430243.0,128.63
LIFE SCIENCES,A,2022-02-23,129.88,125.95,126.0,3938702.0,134.37
LIFE SCIENCES,A,2022-02-22,130.87,129.26,130.49,3044217.0,132.6899
LIFE SCIENCES,A,2022-02-18,130.5,130.0,132.05,3614196.0,133.43
LIFE SCIENCES,A,2022-02-17,134.64,129.71,130.25,2577819.0,134.64
LIFE SCIENCES,A,2022-02-16,135.55,132.11,135.15,3187467.0,135.6
LIFE SCIENCES,A,2022-02-15,137.25,134.73,135.91,2368248.0,138.06
LIFE SCIENCES,A,2022-02-14,136.96,134.1,135.21,2205269.0,137.69
LIFE SCIENCES,A,2022-02-11,141.12,136.24,137.2,1321937.0,142.51
LIFE SCIENCES,A,2022-02-10,141.56,140.58,141.66,1063719.0,144.04
LIFE SCIENCES,A,2022-02-09,142.73,142.15,144.44,1216888.0,145.1
LIFE SCIENCES,A,2022-02-08,139.11,138.295,140.81,1515402.0,141.41
LIFE SCIENCES,A,2022-02-07,141.5,139.81,140.37,1444112.0,142.485
LIFE SCIENCES,A,2022-02-04,141.48,139.67,141.12,1087398.0,142.345
LIFE SCIENCES,A,2022-02-03,142.0,141.01,141.79,914265.0,143.78
LIFE SCIENCES,A,2022-02-02,140.99,140.78,144.24,1475727.0,144.76
LIFE SCIENCES,A,2022-02-01,140.53,138.45,141.03,1655987.0,141.27
LIFE SCIENCES,A,2022-01-31,137.32,136.9729,139.32,1702950.0,139.47
LIFE SCIENCES,A,2022-01-28,133.0,131.215,137.06,2174805.0,137.4
LIFE SCIENCES,A,2022-01-27,135.28,131.68,132.09,1715819.0,136.36
LIFE SCIENCES,A,2022-01-26,135.54,132.27,133.51,1999575.0,138.0454
LIFE SCIENCES,A,2022-01-25,135.36,132.65,134.57,1705313.0,136.62
LIFE SCIENCES,A,2022-01-24,136.38,131.28,138.12,2155299.0,138.49
LIFE SCIENCES,A,2022-01-21,139.54,137.49,137.51,1878663.0,140.49
LIFE SCIENCES,A,2022-01-20,141.38,139.05,139.48,1861384.0,143.14
LIFE SCIENCES,A,2022-01-19,140.67,140.26,140.43,1462159.0,143.6
LIFE SCIENCES,A,2022-01-18,142.42,140.34,140.47,1852023.0,143.24
LIFE SCIENCES,A,2022-01-14,144.04,142.36,144.68,2225442.0,145.15
LIFE SCIENCES,A,2022-01-13,149.46,144.85,145.17,1741764.0,149.54
LIFE SCIENCES,A,2022-01-12,147.8,147.55,149.51,2250847.0,150.39
LIFE SCIENCES,A,2022-01-11,145.0,143.81,146.64,2028671.0,146.94
LIFE SCIENCES,A,2022-01-10,143.29,140.86,145.16,2548145.0,145.31
LIFE SCIENCES,A,2022-01-07,149.12,145.09,145.15,2058658.0,149.73
LIFE SCIENCES,A,2022-01-06,148.85,145.58,149.12,2298277.0,149.96
LIFE SCIENCES,A,2022-01-05,150.83,148.53,148.6,2370529.0,153.1
LIFE SCIENCES,A,2022-01-04,155.49,149.7,151.19,2233958.0,155.63
LIFE SCIENCES,A,2022-01-03,159.0,153.93,156.48,1606323.0,159.44
LIFE SCIENCES,A,2021-12-31,160.35,159.52,159.65,1296229.0,161.45
LIFE SCIENCES,A,2021-12-30,161.11,160.6,160.88,771020.0,162.62
LIFE SCIENCES,A,2021-12-29,159.83,159.175,160.65,833052.0,161.39
LIFE SCIENCES,A,2021-12-28,159.68,158.12,159.18,764279.0,159.79
LIFE SCIENCES,A,2021-12-27,158.82,157.185,158.74,951771.0,159.84
LIFE SCIENCES,A,2021-12-23,157.29,156.65,157.8,1411035.0,158.86
LIFE SCIENCES,A,2021-12-22,154.45,154.25,156.78,1907868.0,157.16
LIFE SCIENCES,A,2021-12-21,151.0,150.61,153.96,1496640.0,154.06
LIFE SCIENCES,A,2021-12-20,150.76,148.54,150.42,2027207.0,152.18
LIFE SCIENCES,A,2021-12-17,150.35,148.04,151.42,2628690.0,152.59
LIFE SCIENCES,A,2021-12-16,154.3,150.46,150.8,2085566.0,155.9
LIFE SCIENCES,A,2021-12-15,152.76,150.62,154.31,2055069.0,154.59
LIFE SCIENCES,A,2021-12-14,154.89,150.105,151.88,1869109.0,155.74
LIFE SCIENCES,A,2021-12-13,157.34,155.14,156.29,1413801.0,157.9
LIFE SCIENCES,A,2021-12-10,154.53,154.08,156.26,1463881.0,156.34
LIFE SCIENCES,A,2021-12-09,156.5,154.51,154.61,1272365.0,158.0
LIFE SCIENCES,A,2021-12-08,154.76,153.95,156.31,1491465.0,156.39
LIFE SCIENCES,A,2021-12-07,152.84,152.61,153.8,1422695.0,156.24
LIFE SCIENCES,A,2021-12-06,149.34,147.78,151.47,1803458.0,152.04
LIFE SCIENCES,A,2021-12-03,151.82,147.72,149.33,1412565.0,153.0
LIFE SCIENCES,A,2021-12-02,147.91,147.73,150.99,1514140.0,152.47
LIFE SCIENCES,A,2021-12-01,151.12,148.09,148.21,1800900.0,152.85
LIFE SCIENCES,A,2021-11-30,153.35,149.7,150.9,3900525.0,155.71
LIFE SCIENCES,A,2021-11-29,153.06,151.56,153.42,1734578.0,155.38
LIFE SCIENCES,A,2021-11-26,153.29,151.57,152.07,1632227.0,159.09
LIFE SCIENCES,A,2021-11-24,153.76,151.09,152.97,2291441.0,154.67
LIFE SCIENCES,A,2021-11-23,155.89,151.77,154.78,3141511.0,159.32
LIFE SCIENCES,A,2021-11-22,165.0,162.78,162.78,2112504.0,165.68
LIFE SCIENCES,A,2021-11-19,163.01,162.67,164.3,1647657.0,165.07
LIFE SCIENCES,A,2021-11-18,162.53,160.4,162.16,1476011.0,162.825
LIFE SCIENCES,A,2021-11-17,161.92,159.9,161.54,872431.0,161.92
LIFE SCIENCES,A,2021-11-16,157.05,156.96,161.39,1276264.0,163.0
LIFE SCIENCES,A,2021-11-15,161.25,157.5,157.78,1121448.0,162.33
LIFE SCIENCES,A,2021-11-12,159.73,157.71,160.88,1441915.0,161.06
LIFE SCIENCES,A,2021-11-11,160.28,157.93,158.79,935490.0,161.035
